mouseNumber,wave,Batch,birthdate,sex,coat color,6 wk glu,6 wk ins,6 wk TG (triglicerides),10 wk glu,10 wk ins,10 wk TG,14 wk glu,14 wk ins,14 wk TG,GTT (glucose tolerance test) date,GTT (glucose tolerance test) weight (grams),sac date,sac wk glu,sac wk ins,sac wk TG
DO101,1,Batch2,8/17/2014,M,agouti,133.571015,1.96685,130.832864,132.97112,0.4202,146.54249,102.34207,0.6622,139.6617,10/1/2014,31.6,11/10/2014,153.19004,0.24296,102.087964
DO102,1,Batch1,8/18/2014,M,black,182.657987,1.6117,141.415072,149.12432,2.59075,167.673305,131.293645,3.6108,257.7256,10/1/2014,37.1,11/10/2014,143.451248,0.33292,109.971526
DO103,1,Batch2,8/19/2014,M,agouti,129.177428,1.13475,121.418592,134.66336,0.4825,212.58956,97.073405,0.1562,91.4012,10/1/2014,21.7,11/10/2014,164.8652,0.04528,53.490664
DO104,1,Batch1,8/20/2014,M,agouti,160.690052,1.8389,156.492064,182.61016,4.83415,156.205325,151.012015,3.877,170.5264,10/1/2014,45.7,11/12/2014,190.20884,0.7804,124.694708
DO105,1,Batch2,8/21/2014,M,agouti,194.273217,1.91165,151.147872,181.02048,3.07035,125.58865,140.787675,5.8258,98.0072,10/1/2014,45.6,11/12/2014,309.067664,1.3886,99.82009
DO106,1,Batch3,8/22/2014,M,agouti,116.65318,1.07235,153.448352,119.84344,0.28455,99.11319,68.12183,0.249,101.09,10/1/2014,35.3,11/12/2014,73.17248,0.19212,96.508274
DO107,1,Batch3,8/23/2014,M,agouti,154.52893,0.66195,92.1848,152.09856,0.493,105.76745,131.45014,0.48755,119.8804,10/1/2014,26.9,11/12/2014,224.721752,0.13416,88.048744
DO108,1,Batch1,8/24/2014,M,agouti,150.48885,2.075,120.604576,156.66248,2.03205,187.494505,109.33218,3.6601,142.561,10/1/2014,39.3,11/14/2014,226.430312,0.20068,116.523162
DO109,1,Batch2,8/25/2014,M,agouti,134.985043,1.87285,202.572448,112.5104,1.4424,183.63645,117.78291,1.1948,207.1897,10/1/2014,23.2,11/14/2014,118.392368,0.05644,77.357338
DO111,1,Batch2,8/27/2014,M,agouti,139.429131,1.50175,214.2872,131.07376,2.06585,147.1796,109.12352,2.9636,201.0608,10/6/2014,36,11/14/2014,142.881728,0.21992,116.955138
DO112,1,Batch3,8/28/2014,M,agouti,117.814703,1.13475,102.413088,110.7156,0.3235,86.51257,119.087035,1.24635,110.3384,10/6/2014,27.9,11/14/2014,150.34244,0.07752,48.450944
DO113,1,Batch3,8/29/2014,M,agouti,127.813901,1.24215,219.914528,127.84312,0.76525,145.091295,96.60392,0.98235,218.9337,10/6/2014,23.6,11/18/2014,168.737936,0.17708,123.650766
DO114,1,Batch2,8/30/2014,M,agouti,110.391056,1.0183,67.127264,187.84072,0.99675,164.204595,96.39526,0.57455,80.0976,10/6/2014,29.4,11/18/2014,189.696272,0.08584,65.298008
DO115,1,Batch3,8/31/2014,M,agouti,131.500474,1.09455,117.49008,125.8432,0.7615,101.484655,69.530285,0.9298,110.0081,10/6/2014,26.6,11/18/2014,123.404144,0.06964,73.937528
DO116,1,Batch1,9/1/2014,M,agouti,157.811495,1.44575,91.47696,164.3032,1.7334,252.23196,147.93428,1.4511,134.7072,10/6/2014,24.2,11/18/2014,118.791032,0.06988,75.593436
DO118,1,Batch2,9/3/2014,M,agouti,204.373417,1.8128,134.725984,171.02088,2.92005,170.150955,168.539455,4.50895,110.6687,10/6/2014,49.2,11/20/2014,245.907896,0.4935,78.58127
DO119,1,Batch2,9/4/2014,M,agouti,155.488449,1.93745,134.619808,141.68872,1.2631,195.38759,122.738585,1.57735,142.4509,10/6/2014,29,11/20/2014,73.742,0.06748,73.577548
DO120,1,Batch2,9/5/2014,M,black,116.855184,0.5931,153.483744,116.40768,0.2472,134.72056,95.1433,0.45145,101.4203,10/6/2014,19.9,11/20/2014,67.363376,0.1181,65.477998
DO121,2,Batch6,10/15/2014,F,agouti,149.374256,0.8442,139.2379,60.12283,0.695733333,120.88583,105.822848,0.212099788,211.878624,2/9/2015,24.5,3/9/2015,115.740883,0.157699842,57.639435
DO122,2,Batch5,10/15/2014,F,agouti,95.326808,1.481575,202.05441,74.487115,0.709666666,132.7588,82.242928,0.533966133,121.144176,2/9/2015,18.9,3/9/2015,191.43122,0.282166385,67.847716
DO123,2,Batch5,10/15/2014,F,agouti,97.490984,0.408725,79.373226,98.03989,0.761066666,142.69479,119.71168,0.682999317,93.352632,2/9/2015,24.7,3/9/2015,132.515773,0.555999444,74.90623
DO124,2,Batch4,10/15/2014,F,agouti,116.968568,2.0537,143.449666,80.069995,1.309633332,145.20569,96.90912,1.419398581,141.42944,2/9/2015,25.1,3/9/2015,135.819918,0.234066433,107.352625
DO125,2,Batch4,10/15/2014,F,white,108.027104,1.246475,125.882642,76.17361,0.612366666,98.07251,72.603664,0.534366132,101.70108,2/9/2015,23.2,3/11/2015,166.472217,0.36009964,93.690985
DO126,2,Batch5,10/15/2014,F,agouti,148.975592,1.3875,172.428056,122.5813,0.978866666,165.29289,162.46648,1.599265067,179.180536,2/9/2015,29.1,3/11/2015,197.480347,0.195733138,116.118844
DO128,2,Batch5,10/15/2014,F,white,107.115872,1.2042,274.302396,112.69495,1.133799999,261.56797,76.283168,0.609166058,146.445832,2/9/2015,21.8,3/11/2015,172.673843,0.204333129,135.548732
DO129,2,Batch4,10/15/2014,F,white,94.643384,0.830975,181.139572,101.76181,1.417799999,148.97204,124.11672,2.115764551,118.105048,2/9/2015,23.6,3/11/2015,170.58969,0.4663662,84.279633
DO130,2,Batch5,10/15/2014,F,agouti,96.351944,1.1899,150.361282,85.12948,1.073799999,100.69102,86.907088,0.927032406,105.472528,2/9/2015,22.6,3/13/2015,196.412854,0.211133122,90.996606
DO131,2,Batch4,10/15/2014,F,agouti,76.077032,0.5684,96.40028,89.78188,0.677799999,117.11948,99.293024,0.313599686,126.96612,2/9/2015,22.8,3/13/2015,170.793022,0.066425,40.486487
DO132,2,Batch6,10/15/2014,F,black,164.922152,0.81265,80.777148,83.326675,0.920299999,71.09827,121.214576,0.823165844,74.934784,2/11/2015,25.1,3/13/2015,170.691356,0.138366528,46.140888
DO133,2,Batch5,10/15/2014,F,agouti,138.154712,0.2814,136.286064,111.53185,0.498066666,94.23442,115.773056,0.29039971,130.115096,2/11/2015,23.5,3/13/2015,154.170631,0.080166587,129.135351
DO137,2,Batch6,10/15/2014,F,white,87.866096,1.093125,146.653488,94.78321,0.976699999,114.39336,83.486704,0.703399297,101.371536,2/11/2015,24.9,3/17/2015,156.051452,0.132699867,62.193315
DO138,2,Batch6,10/15/2014,F,agouti,84.164216,0.7453,121.2389,103.50646,0.632966666,135.41318,107.999456,0.962399038,114.809608,2/11/2015,20,3/17/2015,147.003178,0.087499913,55.817883
DO140,2,Batch5,10/15/2014,F,agouti,77.102168,0.6512,111.411446,105.71635,0.860066666,147.32202,103.801712,0.485132848,108.438424,2/11/2015,21,3/17/2015,108.522597,0.0276875,29.405379
DO141,2,Batch4,10/15/2014,F,white,105.521216,1.20255,212.457832,120.080635,2.107599998,106.03565,86.855264,0.34716632,100.492752,2/11/2015,25.8,3/17/2015,105.116786,0.019933313,34.604392
DO142,2,Batch5,10/15/2014,F,agouti,127.618592,1.20365,90.46061,123.569935,1.795799998,90.7909,133.70416,2.708697291,141.392824,2/11/2015,32.2,3/19/2015,256.700792,0.190166477,66.861042
DO143,2,Batch6,10/15/2014,F,chinchilla,94.187768,0.7509,191.542994,92.747785,0.849833332,137.67299,117.275952,2.008197992,154.501352,2/13/2015,21.8,3/19/2015,218.118545,0.100233233,103.519776
DO144,2,Batch5,10/15/2014,F,white,104.666936,1.2506,117.6391,112.055245,1.214099999,227.77843,87.684448,0.840332493,100.23644,2/13/2015,28.2,3/19/2015,133.379934,0.0328,67.088736
DO145,2,Batch5,10/15/2014,F,agouti,88.777328,1.290625,83.225012,100.424245,0.982799999,108.0085,94.266096,1.028665638,124.512848,2/13/2015,30.1,3/19/2015,214.661901,0.322033011,206.892852
DO146,2,Batch5,10/15/2014,F,chinchilla,92.991776,0.683275,80.20118,89.491105,0.721999999,61.7362,128.988176,1.104865562,102.06724,2/13/2015,23.3,3/23/2015,157.271444,0.107299893,76.082649
DO147,2,Batch4,10/15/2014,F,black,68.502416,0.55135,104.895808,63.84475,0.4654,113.56835,83.745824,0.379132954,112.100024,2/13/2015,22.9,3/23/2015,202.156983,0.0958125,83.179112
DO148,2,Batch6,10/15/2014,F,agouti,85.588016,0.8417,187.583214,72.858775,1.408566665,179.82024,75.868576,0.569666097,263.141024,2/13/2015,24.4,3/23/2015,127.127475,0.094275,81.471407
DO149,2,Batch4,10/15/2014,F,agouti,100.851152,0.50895,70.589714,96.29524,0.4946,85.33866,101.8324,0.234033099,96.355144,2/13/2015,20.1,3/23/2015,123.924996,0.050075,48.683471
DO150,2,Batch5,10/15/2014,F,agouti,96.921464,0.5789,116.451166,71.346745,0.420566666,103.23779,115.151168,0.481799518,77.35144,2/13/2015,20.6,3/25/2015,195.548693,2.005997994,77.107272
DO151,2,Batch6,10/15/2014,F,agouti,124.087568,0.9164,138.985914,99.3193,0.716433333,104.13454,93.851504,0.273933059,84.015552,2/13/2015,22.4,3/25/2015,83.004431,0.0463,34.642341
DO152,2,Batch5,10/15/2014,F,agouti,104.894744,1.90155,153.673098,117.46366,1.399433332,97.49859,110.072416,3.074830259,146.152904,2/13/2015,29.1,3/25/2015,190.41456,0.121333212,63.369734
DO153,2,Batch5,10/15/2014,F,agouti,110.134328,0.438825,105.075798,75.47575,0.736333333,118.80537,102.35064,0.66019934,163.655352,2/17/2015,19.9,3/25/2015,159.508096,0.125799874,51.036309
DO154,2,Batch6,10/15/2014,F,agouti,128.643728,0.871225,160.29673,95.539225,1.337999999,240.65576,97.68648,2.401797598,219.201824,2/17/2015,20.2,3/27/2015,203.376975,0.521932811,78.625232
DO155,2,Batch6,10/15/2014,F,white,97.66184,0.526575,81.82109,64.833385,0.494166666,77.519,76.075872,0.340732993,86.249128,2/17/2015,19.1,3/27/2015,81.530274,0.071799928,40.714181
DO156,2,Batch6,10/15/2014,F,agouti,113.32364,0.50745,154.753038,57.91294,0.637799999,141.7263,80.32544,0.411132922,106.021768,2/17/2015,27.3,3/27/2015,160.728088,0.0589,179.607521
DO157,2,Batch6,10/15/2014,F,agouti,102.388856,1.66845,107.307674,86.467045,0.822566666,103.56062,114.373808,1.251532082,99.723816,2/17/2015,24.1,3/27/2015,122.80667,0.200033133,50.808615
DO158,2,Batch5,10/15/2014,F,agouti,85.98668,0.438825,64.866032,79.488445,0.318133333,64.13949,115.151168,0.415466251,68.160824,2/17/2015,19.2,3/31/2015,178.824636,0.209133124,97.220242
DO159,2,Batch5,10/15/2014,F,agouti,89.517704,0.844575,185.783314,80.82601,1.194166665,155.17755,116.550416,0.827665839,132.6416,2/17/2015,22.8,3/31/2015,184.517932,0.086199914,113.955751
DO160,2,Batch6,10/15/2014,F,white,90.201128,0.40495,121.05891,116.64949,1.628066665,91.97461,112.611792,0.627932705,149.228648,2/17/2015,26.3,3/31/2015,176.587984,0.19333314,91.110453
DO161,2,Batch4,10/15/2014,F,black,90.656744,0.60875,94.492386,62.21641,0.496766666,58.79486,104.838192,0.5335328,104.850056,2/17/2015,21,3/31/2015,131.905777,0.077966589,48.759369
DO162,2,Batch4,10/15/2014,F,black,108.938336,1.071275,158.280842,88.50247,2.165099998,134.73165,148.21488,4.2637,175.811864,2/17/2015,25.2,4/2/2015,133.329101,0.51333282,66.974889
DO163,2,Batch6,10/15/2014,F,white,116.854664,1.50685,174.731928,77.511175,2.443033331,135.73601,97.479184,2.073797926,165.596,2/19/2015,24.5,4/2/2015,206.731953,0.176299824,63.749224
